,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
77,Thai Red Curry Shrimp,"A spicy savory shrimp curry made with red chilies, eggplant, hints of lemongrass, and Thai basil.","Shrimp, coconut milk, Mae Ploy red curry paste (garlic, dried red chili, lemongrass, shallot, salt, galangal, shrimp paste [shrimp, salt], kaffir lime peel, pepper. May contain traces of fish), eggplant, light brown beet sugar, fresh Thai basil, Thai peppers, fish sauce (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein)",140.53,9.94,7.89,5.53
78,Basmati Rice,Fluffy white basmati rice.,Basmati Rice cooked in water,93.22,0.17,1.82,20.42
79,Make-Your-Own Mongolian BBQ,"Mongolian stir-fry with choice of protein, noodles and vegetables",[Placeholder] - all major allergens;,-1.0,-1.0,-1.0,-1.0
80,Sweet & Sour Tofu,Crispy fried tofu marinated in our house sweet & sour sauce,"Firm tofu, house-made sweet and sour sauce (rice vinegar, beet sugar, ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], cornstarch, lime juice, green bell peppers, carrots, yellow onion, light brown beet sugar, less-sodium soy sauce [water, soybeans, wheat, salt, lactic acid, sodium benzoate], pineapple, canola oil, pure vanilla extract, red food coloring [water, U.S. Certified Colors {FD&C red #40 and blue #1}, citric acid, 1/10 of 1% benzoate of soda], Tabasco hot sauce [distilled vinegar, red pepper, salt]), canola oil, cornstarch",123.95,7.71,4.41,9.78
81,Sticky Rice,Steamed white calrose rice,"White rice, water",161.7,0.26,2.97,35.64
82,Creamy Bacon Pasta with Peas,"Lentil penne pasta with a house plant-based cream sauce and topped with peas, bacon, and tomatoes",,-1.0,-1.0,-1.0,-1.0
83,Roasted Cauliflower,Cauliflower tossed in olive oil and roasted with salt and pepper,,,,,
84,Sauteed Garlic Green Beans,Fresh green beans sauteed with garlic and lightly seasoned,,,,,
85,Savory White Beans,"White beans with celery, tomatoes, and herbs",,,,,
86,Chicken Patty Sandwich,Breaded chicken patty on a bun,"Breaded chicken patty (chicken breast with rib meat, water, sodium phosphate, salt. Breaded and battered with bleached wheat flour, water, enriched wheat flour. Contains 2% or less of salt, canola oil, sugar, dextrose, yeast, yellow corn flour, torula yeast, extractives of paprika and annatto, natural flavor, wheat starch, wheat flour, salt, buttermilk blend, sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate, spice. Set in vegetable oil), Kaiser roll (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient, dough conditioners, calcium sulfate, calcium propionate, yellow corn flour, turmeric and annatto, cornmeal), canola oil",355.1,11.4,18.15,44.17
87,Aggie Burger,House-made vegan Aggie patty featuring Russel Ranch sundried tomatoes. Topped with a creamy vegan sauce on a sesame bun.,"HOUSE MADE VEGAN AGGIE PATTY (wild rice pilaf blend [brown rice, wild rice, mushrooms, red onion, gluten-free vegetable soup base {reconstituted vegetable juice blend (water and concentrated juices of carrot, celery, tomato), maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor}, house low sodium Teriyaki sauce {less-sodium soy sauce (water, wheat, soybeans, salt, lactic acid, sodium benzoate), beet sugar, light brown beet sugar, pineapple juice, rice vinegar, corn starch, ketchup (tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring), ginger, garlic, pure sesame oil}, canola oil, garlic, ground black pepper, ginger], vital wheat gluten flour, hash browns [potato, disodium dihydrogen pyrophosphate, dextrose], celery, carrots, vegetable soup base [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], mushrooms, yellow onion, hummus [garbanzo beans, yellow onion, Tahini paste {ground hulled sesame seeds}, garlic, canola/olive oil blend, lemon juice, iodized salt], thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], canola/olive oil blend, old-fashioned rolled oats [per manufacturer, may contain wheat/gluten], raw sunflower seeds [per manufacturer, may contain peanuts and tree nuts], corn, brown lentils, pearled barley, canned red peppers [bell pepper, water, citric acid], green onions, sundried tomatoes, fresh Italian parsley, corn starch, garlic, curry powder, ground black pepper), VEGAN AGGIE SAUCE (ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], house fajita seasoning [salt, onion powder, garlic powder, paprika, sugar, ground white pepper, beet sugar, ground cumin, ground lemon pepper]), SESAME HAMBURGER BUN (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds)",214.92,10.79,9.84,21.04
88,Shoestring Fries,Crispy deep-fried thin cut potato fries,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)",201.6,12.0,1.84,21.13
89,Pepperoni Pizza,"Pizza topped with pepperoni, Mozzarella, and Parmesan cheese.","Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), pepperoni (pork, beef, salt. Contains 2% or less of water, spice, seasoning [cane sugar, celery juice powder], seasoning [extractives of paprika, natural spice extractives], lactic acid starter culture), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), canola oil, garlic powder, Italian seasoning, house-made pizza sauce (pear tomatoes, garlic, salt, ground black pepper, oregano, Italian seasoning, basil, ground Cayenne pepper, thyme, marjoram)",233.42,9.36,8.99,27.67
90,Spinach Alfredo Pizza,"Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.","Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning",230.91,8.24,8.97,29.69
91,Minestrone Soup,,,,,,
92,Split Pea Soup,,,,,,
93,Thick & Zesty Bean Chili,"Beef chili with kidney and pinto beans, and seasoned with aromatic spices","Pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), ground beef, red kidney beans, yellow onion, green chili peppers (green chiles, salt, citric acid, calcium chloride), cornstarch, tomato paste, red wine vinegar (red wine vinegar, water, potassium metabisulfite), gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), salt, dark chili powder, garlic, Jalapeno peppers, ground black pepper, cumin, cayenne pepper",245.23,9.77,14.64,26.34
94,Curried Tortellini Salad,Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper",166.21,10.29,2.74,16.37
95,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
96,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
97,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
98,Deli Bar,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,-1.0,-1.0,-1.0,-1.0
99,New York Cheesecake Bars,"Produced in a facility that also uses wheat, milk, eggs, tree nuts, peanuts, soybeans, and fish.","Cream cheese, pure cane sugar, eggs, sour cream (cultured cream, contains less than 2% of whey, modified corn starch), sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate, crumbs, vanilla extract. Produced in a facility that also uses wheat, milk, eggs, tree nuts, peanuts, soybeans, and fish",360.0,21.0,6.0,35.0
100,Oatmeal Cookie,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",360.0,14.0,6.0,52.0
101,Lemon & Cream Shortcake,"Per manufacturer, may contain peanuts, tree nuts, and soy.",,,,,
102,Chicken Patty Sandwich,Breaded chicken patty on a bun,"Breaded chicken patty (chicken breast with rib meat, water, sodium phosphate, salt. Breaded and battered with bleached wheat flour, water, enriched wheat flour. Contains 2% or less of salt, canola oil, sugar, dextrose, yeast, yellow corn flour, torula yeast, extractives of paprika and annatto, natural flavor, wheat starch, wheat flour, salt, buttermilk blend, sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate, spice. Set in vegetable oil), Kaiser roll (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient, dough conditioners, calcium sulfate, calcium propionate, yellow corn flour, turmeric and annatto, cornmeal), canola oil",355.1,11.4,18.15,44.17
103,Aggie Burger,House-made vegan Aggie patty featuring Russel Ranch sundried tomatoes. Topped with a creamy vegan sauce on a sesame bun.,"HOUSE MADE VEGAN AGGIE PATTY (wild rice pilaf blend [brown rice, wild rice, mushrooms, red onion, gluten-free vegetable soup base {reconstituted vegetable juice blend (water and concentrated juices of carrot, celery, tomato), maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor}, house low sodium Teriyaki sauce {less-sodium soy sauce (water, wheat, soybeans, salt, lactic acid, sodium benzoate), beet sugar, light brown beet sugar, pineapple juice, rice vinegar, corn starch, ketchup (tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring), ginger, garlic, pure sesame oil}, canola oil, garlic, ground black pepper, ginger], vital wheat gluten flour, hash browns [potato, disodium dihydrogen pyrophosphate, dextrose], celery, carrots, vegetable soup base [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], mushrooms, yellow onion, hummus [garbanzo beans, yellow onion, Tahini paste {ground hulled sesame seeds}, garlic, canola/olive oil blend, lemon juice, iodized salt], thickener [modified cornstarch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], canola/olive oil blend, old-fashioned rolled oats [per manufacturer, may contain wheat/gluten], raw sunflower seeds [per manufacturer, may contain peanuts and tree nuts], corn, brown lentils, pearled barley, canned red peppers [bell pepper, water, citric acid], green onions, sundried tomatoes, fresh Italian parsley, corn starch, garlic, curry powder, ground black pepper), VEGAN AGGIE SAUCE (ketchup [tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring], Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], house fajita seasoning [salt, onion powder, garlic powder, paprika, sugar, ground white pepper, beet sugar, ground cumin, ground lemon pepper]), SESAME HAMBURGER BUN (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds)",214.92,10.79,9.84,21.04
